attraction_id,destination_id,attraction_name,category,latitude,longitude,summary,source_url,source_type,rank_within_destination,source_confidence
andaman-and-nicobar-islands--mayabunder--explore,andaman-and-nicobar-islands--mayabunder,Explore,attraction,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/mayabunder/avis-island,official_link,1,0.7
andaman-and-nicobar-islands--rangat--dhani-nallah-mangrove-nature-walkway,andaman-and-nicobar-islands--rangat,Dhani Nallah Mangrove Nature Walkway,attraction,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/rangat/dhani-nallah-mangrove-nature-walkway,official_link,1,0.7
andaman-and-nicobar-islands--sri-vijaya-puram--mahatma-gandhi-marine-national-park,andaman-and-nicobar-islands--sri-vijaya-puram,Mahatma Gandhi Marine National Park,park,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/sri-vijaya-puram/mahatma-gandhi-marine-national-park,official_link,1,0.7
andaman-and-nicobar-islands--sri-vijaya-puram--mount-manipur-national-park,andaman-and-nicobar-islands--sri-vijaya-puram,Mount Manipur National Park,park,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/sri-vijaya-puram/mount-manipur-national-park,official_link,2,0.7
andaman-and-nicobar-islands--sri-vijaya-puram--corbyn-s-cove-beach,andaman-and-nicobar-islands--sri-vijaya-puram,Corbyn's Cove Beach,beach,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/sri-vijaya-puram/corbyns-cove,official_link,3,0.7
andaman-and-nicobar-islands--sri-vijaya-puram--chidiya-tapu,andaman-and-nicobar-islands--sri-vijaya-puram,Chidiya Tapu,attraction,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/sri-vijaya-puram/chidiya-tapu,official_link,4,0.7
andaman-and-nicobar-islands--sri-vijaya-puram--neil-island-shaheed-dweep,andaman-and-nicobar-islands--sri-vijaya-puram,Neil Island (Shaheed Dweep),island,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/sri-vijaya-puram/neil-island-shaheed-dweep,official_link,5,0.7
andaman-and-nicobar-islands--sri-vijaya-puram--wandoor-beach,andaman-and-nicobar-islands--sri-vijaya-puram,Wandoor Beach,beach,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/sri-vijaya-puram/wandoor-beach,official_link,6,0.7
andaman-and-nicobar-islands--sri-vijaya-puram--explore,andaman-and-nicobar-islands--sri-vijaya-puram,Explore,attraction,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/sri-vijaya-puram/the-andaman-nicobar-islands,official_link,7,0.7
andaman-and-nicobar-islands--sri-vijaya-puram--explore,andaman-and-nicobar-islands--sri-vijaya-puram,Explore,attraction,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/sri-vijaya-puram/rubber-plantations-in-wandoor,official_link,8,0.7
andaman-and-nicobar-islands--sri-vijaya-puram--explore,andaman-and-nicobar-islands--sri-vijaya-puram,Explore,attraction,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/sri-vijaya-puram/barren-island,official_link,9,0.7
andaman-and-nicobar-islands--sri-vijaya-puram--explore,andaman-and-nicobar-islands--sri-vijaya-puram,Explore,attraction,,,,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/sri-vijaya-puram/cellular-jail,official_link,10,0.7
andhra-pradesh--amaravati--amaralingeswara-temple,andhra-pradesh--amaravati,Amaralingeswara Temple,temple,,,,https://www.incredibleindia.gov.in/en/andhra-pradesh/amaravati/amaralingeswara-temple,official_link,1,0.7
andhra-pradesh--amaravati--amaravati-mahachaitya,andhra-pradesh--amaravati,Amaravati Mahachaitya,attraction,,,,https://www.incredibleindia.gov.in/en/andhra-pradesh/amaravati/amaravati-mahachaitya,official_link,2,0.7
andhra-pradesh--amaravati--explore,andhra-pradesh--amaravati,Explore,attraction,,,,https://www.incredibleindia.gov.in/en/andhra-pradesh/amaravati/amaravati-archaeological-museum,official_link,3,0.7
andhra-pradesh--anantapur--penukonda-fort,andhra-pradesh--anantapur,Penukonda Fort,fort,,,,https://www.incredibleindia.gov.in/en/andhra-pradesh/anantapur/penukonda-fort,official_link,1,0.7
andhra-pradesh--anantapur--gooty-fort,andhra-pradesh--anantapur,Gooty Fort,fort,,,,https://www.incredibleindia.gov.in/en/andhra-pradesh/anantapur/gooty-fort,official_link,2,0.7
