route_id,source_city_id,destination_city_id,mode,submode,distance_km,duration_minutes,availability_status,cost_general,cost_sleeper,cost_ac3,cost_ac2,cost_ac1,cost_is_estimated,source_dataset,source_quality,raw_route_key
flight:agartala:agatti-island-lakshadweep,city-agartala,city-agatti-island-lakshadweep,flight,flight_standard,2485.45,216,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Agatti Island (Lakshadweep)
flight:agartala:agra,city-agartala,city-agra,flight,flight_standard,1380.47,131,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Agra
flight:agartala:ahmedabad,city-agartala,city-ahmedabad,flight,flight_standard,1899.92,171,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Ahmedabad
flight:agartala:aizawl,city-agartala,city-aizawl,flight,flight_standard,140.49,36,unavailable,,,,,,False,flight_csv_sanitized,medium,Agartala::Aizawl
flight:agartala:akola,city-agartala,city-akola,flight,flight_standard,1499.8,140,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Akola
flight:agartala:amritsar,city-agartala,city-amritsar,flight,flight_standard,1832.37,166,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Amritsar
flight:agartala:bathinda,city-agartala,city-bathinda,flight,flight_standard,1754.42,160,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Bathinda
flight:agartala:belagavi-belgaum,city-agartala,city-belagavi-belgaum,flight,flight_standard,1952.3,175,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Belagavi (Belgaum)
flight:agartala:bellary,city-agartala,city-bellary,flight,flight_standard,1786.09,162,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Bellary
flight:agartala:bengaluru,city-agartala,city-bengaluru,flight,flight_standard,1855.31,168,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Bengaluru
flight:agartala:bhavnagar,city-agartala,city-bhavnagar,flight,flight_standard,1966.32,176,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Bhavnagar
flight:agartala:bhopal,city-agartala,city-bhopal,flight,flight_standard,1417.78,134,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Bhopal
flight:agartala:bhubaneswar,city-agartala,city-bhubaneswar,flight,flight_standard,690.19,78,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Bhubaneswar
flight:agartala:bhuj,city-agartala,city-bhuj,flight,flight_standard,2197.35,194,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Bhuj
flight:agartala:bikaner,city-agartala,city-bikaner,flight,flight_standard,1849.75,167,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Bikaner
flight:agartala:chandigarh,city-agartala,city-chandigarh,flight,flight_standard,1612.63,149,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Chandigarh
flight:agartala:coimbatore,city-agartala,city-coimbatore,flight,flight_standard,2074.2,185,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Coimbatore
flight:agartala:cooch-behar,city-agartala,city-cooch-behar,flight,flight_standard,325.1,50,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Cooch Behar
flight:agartala:dabolim-vasco-da-gama,city-agartala,city-dabolim-vasco-da-gama,flight,flight_standard,2050.86,183,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Dabolim (Vasco da Gama)
flight:agartala:daporijo,city-agartala,city-daporijo,flight,flight_standard,473.37,61,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Daporijo
flight:agartala:dehradun,city-agartala,city-dehradun,flight,flight_standard,1488.46,139,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Dehradun
flight:agartala:delhi,city-agartala,city-delhi,flight,flight_standard,1501.84,141,available,,,,,,False,flight_csv_sanitized,medium,Agartala::New Delhi
flight:agartala:dhanbad,city-agartala,city-dhanbad,flight,flight_standard,487.77,63,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Dhanbad
flight:agartala:dharamshala-kangra,city-agartala,city-dharamshala-kangra,flight,flight_standard,1738.55,159,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Dharamshala / Kangra
flight:agartala:dibrugarh,city-agartala,city-dibrugarh,flight,flight_standard,550.0,67,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Dibrugarh
flight:agartala:dimapur,city-agartala,city-dimapur,flight,flight_standard,337.43,51,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Dimapur
flight:agartala:diu,city-agartala,city-diu,flight,flight_standard,2118.87,188,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Diu
flight:agartala:gaya,city-agartala,city-gaya,flight,flight_standard,645.19,75,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Gaya
flight:agartala:gorakhpur,city-agartala,city-gorakhpur,flight,flight_standard,845.65,90,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Gorakhpur
flight:agartala:guna,city-agartala,city-guna,flight,flight_standard,1413.74,134,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Guna
flight:agartala:guwahati,city-agartala,city-guwahati,flight,flight_standard,248.55,44,unavailable,,,,,,False,flight_csv_sanitized,medium,Agartala::Guwahati
flight:agartala:gwalior,city-agartala,city-gwalior,flight,flight_standard,1336.83,128,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Gwalior
flight:agartala:hisar,city-agartala,city-hisar,flight,flight_standard,1642.87,151,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Hisar
flight:agartala:hubballi-hubli,city-agartala,city-hubballi-hubli,flight,flight_standard,1937.79,174,available,,,,,,False,flight_csv_sanitized,medium,Agartala::Hubballi (Hubli)
