mode,source_raw,destination_raw,reason,raw_record
flight,Agra,Akola,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Akola"", ""mode_raw"": ""Flight"", ""distance_km"": 727.34, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Bellary,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Bellary"", ""mode_raw"": ""Flight"", ""distance_km"": 1336.09, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Bhuj,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Bhuj"", ""mode_raw"": ""Flight"", ""distance_km"": 938.29, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Bhavnagar,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Bhavnagar"", ""mode_raw"": ""Flight"", ""distance_km"": 838.21, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Bikaner,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Bikaner"", ""mode_raw"": ""Flight"", ""distance_km"": 469.3, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Bathinda,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Bathinda"", ""mode_raw"": ""Flight"", ""distance_km"": 444.2, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Kadapa,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Kadapa"", ""mode_raw"": ""Flight"", ""distance_km"": 1408.26, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Cooch Behar,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Cooch Behar"", ""mode_raw"": ""Flight"", ""distance_km"": 1145.59, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Dhanbad,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Dhanbad"", ""mode_raw"": ""Flight"", ""distance_km"": 930.68, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Daporijo,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Daporijo"", ""mode_raw"": ""Flight"", ""distance_km"": 1584.34, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Gaya,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Gaya"", ""mode_raw"": ""Flight"", ""distance_km"": 747.75, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Gorakhpur,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Gorakhpur"", ""mode_raw"": ""Flight"", ""distance_km"": 545.14, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Guna,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Guna"", ""mode_raw"": ""Flight"", ""distance_km"": 284.49, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Hisar,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Hisar"", ""mode_raw"": ""Flight"", ""distance_km"": 307.92, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Agra"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 1613.93, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Nashik,non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Nashik"", ""mode_raw"": ""Flight"", ""distance_km"": 904.49, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agra,Belagavi (Belgaum),non_positive_duration,"{""source_raw"": ""Agra"", ""destination_raw"": ""Belagavi (Belgaum)"", ""mode_raw"": ""Flight"", ""distance_km"": 1303.02, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Agra,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Agra"", ""mode_raw"": ""Flight"", ""distance_km"": 1913.94, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Aizawl,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Aizawl"", ""mode_raw"": ""Flight"", ""distance_km"": 2602.21, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Akola,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Akola"", ""mode_raw"": ""Flight"", ""distance_km"": 1212.91, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Bellary,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Bellary"", ""mode_raw"": ""Flight"", ""distance_km"": 704.13, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Bhuj,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Bhuj"", ""mode_raw"": ""Flight"", ""distance_km"": 1410.65, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Bhavnagar,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Bhavnagar"", ""mode_raw"": ""Flight"", ""distance_km"": 1214.92, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Agatti Island (Lakshadweep),Bikaner,non_positive_duration,"{""source_raw"": ""Agatti Island (Lakshadweep)"", ""destination_raw"": ""Bikaner"", ""mode_raw"": ""Flight"", ""distance_km"": 1914.75, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
